id,value
area.2004.BOGOTA,761
area.2006.CASANARE,146
area.2010.BOGOTA,341
area.2015.BOYACA,2
area.2009.CALDAS,25
area.2011.CESAR,17
area.2003.BOYACA,26
area.2014.LA GUAJIRA,7
area.2015.CALDAS,0
area.2006.CESAR,2497
area.2006.MAGDALENA,1788
area.2003.CESAR,22
area.2013.ARAUCA,5
area.2013.CAUCA,34
area.2014.Por establecer,9
area.2013.ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,0
area.2004.CUNDINAMARCA,223
area.2005.HUILA,91
area.2005.CHOCO,101
area.2004.RISARALDA,39
area.2014.VAUPES,3
area.2012.QUINDIO,10
area.2008.BOYACA,35
area.2014.NORTE DE SANTANDER,34
area.2011.BOYACA,5
area.2005.VAUPES,1
area.2009.CAUCA,70
area.2007.SANTANDER,80
area.2011.CALDAS,6
area.2010.BOLIVAR,21
area.2013.NARINO,20
area.2015.SUCRE,0
area.2007.CAQUETA,115
area.2009.META,199
area.2004.META,130
area.2004.BOLIVAR,111
area.2003.LA GUAJIRA,5
area.2004.GUAINIA,1
area.2006.Por establecer,1194
area.2010.CASANARE,35
area.2014.HUILA,58
area.2004.AMAZONAS,0
area.2012.BOLIVAR,9
area.2011.VAUPES,16
area.2006.TOLIMA,285
area.2003.ANTIOQUIA,911
area.2014.ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,0
area.2006.CAQUETA,176
area.2008.CUNDINAMARCA,114
area.2012.GUAVIARE,5
area.2006.ATLANTICO,881
area.2010.CESAR,16
area.2013.ANTIOQUIA,116
area.2010.ATLANTICO,19
area.2014.VICHADA,2
area.2010.SANTANDER,42
area.2014.GUAINIA,2
area.2012.CUNDINAMARCA,53
area.2014.META,107
area.2007.ATLANTICO,32
area.2003.AMAZONAS,1
area.2007.META,157
area.2003.HUILA,45
